record_id,price_date,diesel_price_per_gallon,region
F0001,2023-01-02,3.885,South
F0002,2023-01-02,3.825,Midwest
F0003,2023-01-02,3.79,Southeast
F0004,2023-01-02,3.99,West
F0005,2023-01-09,3.93,South
F0006,2023-01-09,4.019,Midwest
F0007,2023-01-09,3.794,Southeast
F0008,2023-01-09,4.064,West
F0009,2023-01-16,3.801,South
F0010,2023-01-16,3.903,Midwest
F0011,2023-01-16,3.737,Southeast
F0012,2023-01-16,3.978,West
F0013,2023-01-23,3.888,South
F0014,2023-01-23,3.88,Midwest
F0015,2023-01-23,3.866,Southeast
F0016,2023-01-23,4.116,West
F0017,2023-01-30,3.886,South
F0018,2023-01-30,3.917,Midwest
F0019,2023-01-30,3.772,Southeast
F0020,2023-01-30,3.949,West
F0021,2023-02-06,3.867,South
F0022,2023-02-06,3.873,Midwest
F0023,2023-02-06,3.793,Southeast
F0024,2023-02-06,4.139,West
F0025,2023-02-13,3.973,South
F0026,2023-02-13,4.009,Midwest
F0027,2023-02-13,3.895,Southeast
F0028,2023-02-13,4.183,West
F0029,2023-02-20,3.922,South
F0030,2023-02-20,4.022,Midwest
F0031,2023-02-20,3.904,Southeast
F0032,2023-02-20,4.158,West
F0033,2023-02-27,3.969,South
F0034,2023-02-27,3.9,Midwest
F0035,2023-02-27,3.853,Southeast
F0036,2023-02-27,4.074,West
F0037,2023-03-06,3.844,South
F0038,2023-03-06,3.87,Midwest
F0039,2023-03-06,3.822,Southeast
F0040,2023-03-06,4.096,West
F0041,2023-03-13,3.863,South
F0042,2023-03-13,3.884,Midwest
F0043,2023-03-13,3.814,Southeast
F0044,2023-03-13,4.145,West
F0045,2023-03-20,3.934,South
F0046,2023-03-20,3.905,Midwest
F0047,2023-03-20,3.925,Southeast
F0048,2023-03-20,4.033,West
F0049,2023-03-27,3.998,South
F0050,2023-03-27,3.985,Midwest
F0051,2023-03-27,3.89,Southeast
F0052,2023-03-27,4.123,West
F0053,2023-04-03,4.011,South
F0054,2023-04-03,3.962,Midwest
F0055,2023-04-03,3.847,Southeast
F0056,2023-04-03,4.108,West
F0057,2023-04-10,3.891,South
F0058,2023-04-10,4.073,Midwest
F0059,2023-04-10,3.981,Southeast
F0060,2023-04-10,4.09,West
F0061,2023-04-17,3.953,South
F0062,2023-04-17,4.097,Midwest
F0063,2023-04-17,3.935,Southeast
F0064,2023-04-17,4.11,West
F0065,2023-04-24,3.963,South
F0066,2023-04-24,3.959,Midwest
F0067,2023-04-24,3.937,Southeast
F0068,2023-04-24,4.204,West
F0069,2023-05-01,3.899,South
F0070,2023-05-01,4.09,Midwest
F0071,2023-05-01,3.922,Southeast
F0072,2023-05-01,4.056,West
F0073,2023-05-08,3.836,South
F0074,2023-05-08,3.979,Midwest
F0075,2023-05-08,3.929,Southeast
F0076,2023-05-08,4.072,West
F0077,2023-05-15,3.843,South
F0078,2023-05-15,4.003,Midwest
F0079,2023-05-15,3.839,Southeast
F0080,2023-05-15,4.129,West
F0081,2023-05-22,3.829,South
F0082,2023-05-22,4.007,Midwest
F0083,2023-05-22,3.92,Southeast
F0084,2023-05-22,4.104,West
F0085,2023-05-29,3.924,South
F0086,2023-05-29,3.879,Midwest
F0087,2023-05-29,3.857,Southeast
F0088,2023-05-29,4.071,West
F0089,2023-06-05,4.031,South
F0090,2023-06-05,3.97,Midwest
F0091,2023-06-05,3.933,Southeast
F0092,2023-06-05,4.085,West
F0093,2023-06-12,4.09,South
F0094,2023-06-12,4.037,Midwest
F0095,2023-06-12,4.018,Southeast
F0096,2023-06-12,4.223,West
F0097,2023-06-19,4.038,South
F0098,2023-06-19,4.048,Midwest
F0099,2023-06-19,4.011,Southeast
F0100,2023-06-19,4.176,West
F0101,2023-06-26,3.909,South
F0102,2023-06-26,3.905,Midwest
F0103,2023-06-26,3.988,Southeast
F0104,2023-06-26,4.189,West
F0105,2023-07-03,3.956,South
F0106,2023-07-03,3.961,Midwest
F0107,2023-07-03,4.029,Southeast
F0108,2023-07-03,4.251,West
F0109,2023-07-10,3.948,South
F0110,2023-07-10,3.923,Midwest
F0111,2023-07-10,3.968,Southeast
F0112,2023-07-10,4.179,West
F0113,2023-07-17,3.912,South
F0114,2023-07-17,3.975,Midwest
F0115,2023-07-17,3.844,Southeast
F0116,2023-07-17,4.163,West
F0117,2023-07-24,3.865,South
F0118,2023-07-24,3.974,Midwest
F0119,2023-07-24,3.928,Southeast
F0120,2023-07-24,4.043,West
F0121,2023-07-31,3.993,South
F0122,2023-07-31,3.981,Midwest
F0123,2023-07-31,3.863,Southeast
F0124,2023-07-31,4.087,West
F0125,2023-08-07,3.819,South
F0126,2023-08-07,3.89,Midwest
F0127,2023-08-07,3.855,Southeast
F0128,2023-08-07,4.0,West
F0129,2023-08-14,3.768,South
F0130,2023-08-14,3.919,Midwest
F0131,2023-08-14,3.766,Southeast
F0132,2023-08-14,4.098,West
F0133,2023-08-21,3.821,South
F0134,2023-08-21,3.901,Midwest
F0135,2023-08-21,3.898,Southeast
F0136,2023-08-21,4.027,West
F0137,2023-08-28,3.942,South
F0138,2023-08-28,3.927,Midwest
F0139,2023-08-28,3.829,Southeast
F0140,2023-08-28,4.095,West
F0141,2023-09-04,3.855,South
F0142,2023-09-04,3.888,Midwest
F0143,2023-09-04,3.869,Southeast
F0144,2023-09-04,4.077,West
F0145,2023-09-11,3.958,South
F0146,2023-09-11,3.998,Midwest
F0147,2023-09-11,3.974,Southeast
F0148,2023-09-11,4.025,West
F0149,2023-09-18,3.886,South
F0150,2023-09-18,4.03,Midwest
F0151,2023-09-18,3.84,Southeast
F0152,2023-09-18,4.039,West
F0153,2023-09-25,3.905,South
F0154,2023-09-25,3.929,Midwest
F0155,2023-09-25,3.844,Southeast
F0156,2023-09-25,4.175,West
F0157,2023-10-02,3.987,South
F0158,2023-10-02,3.981,Midwest
F0159,2023-10-02,3.811,Southeast
F0160,2023-10-02,4.192,West
F0161,2023-10-09,4.056,South
F0162,2023-10-09,4.099,Midwest
F0163,2023-10-09,4.005,Southeast
F0164,2023-10-09,4.092,West
F0165,2023-10-16,3.928,South
F0166,2023-10-16,4.012,Midwest
F0167,2023-10-16,3.871,Southeast
F0168,2023-10-16,4.138,West
F0169,2023-10-23,4.006,South
F0170,2023-10-23,4.149,Midwest
F0171,2023-10-23,4.01,Southeast
F0172,2023-10-23,4.214,West
F0173,2023-10-30,4.202,South
F0174,2023-10-30,4.173,Midwest
F0175,2023-10-30,4.122,Southeast
F0176,2023-10-30,4.231,West
F0177,2023-11-06,4.183,South
F0178,2023-11-06,4.163,Midwest
F0179,2023-11-06,4.077,Southeast
F0180,2023-11-06,4.324,West
F0181,2023-11-13,4.071,South
F0182,2023-11-13,4.107,Midwest
F0183,2023-11-13,4.089,Southeast
F0184,2023-11-13,4.174,West
F0185,2023-11-20,4.045,South
F0186,2023-11-20,4.114,Midwest
F0187,2023-11-20,4.108,Southeast
F0188,2023-11-20,4.333,West
F0189,2023-11-27,4.031,South
F0190,2023-11-27,4.219,Midwest
F0191,2023-11-27,4.023,Southeast
F0192,2023-11-27,4.296,West
F0193,2023-12-04,4.108,South
F0194,2023-12-04,4.188,Midwest
F0195,2023-12-04,4.097,Southeast
F0196,2023-12-04,4.381,West
F0197,2023-12-11,4.137,South
F0198,2023-12-11,4.101,Midwest
F0199,2023-12-11,4.049,Southeast
F0200,2023-12-11,4.309,West
F0201,2023-12-18,4.051,South
F0202,2023-12-18,4.179,Midwest
F0203,2023-12-18,3.977,Southeast
F0204,2023-12-18,4.256,West
F0205,2023-12-25,4.243,South
F0206,2023-12-25,4.127,Midwest
F0207,2023-12-25,4.072,Southeast
F0208,2023-12-25,4.292,West
F0209,2024-01-01,4.285,South
F0210,2024-01-01,4.334,Midwest
F0211,2024-01-01,4.163,Southeast
F0212,2024-01-01,4.334,West
F0213,2024-01-08,4.303,South
F0214,2024-01-08,4.336,Midwest
F0215,2024-01-08,4.324,Southeast
F0216,2024-01-08,4.474,West
F0217,2024-01-15,4.274,South
F0218,2024-01-15,4.231,Midwest
F0219,2024-01-15,4.216,Southeast
F0220,2024-01-15,4.476,West
F0221,2024-01-22,4.114,South
F0222,2024-01-22,4.162,Midwest
F0223,2024-01-22,4.163,Southeast
F0224,2024-01-22,4.322,West
F0225,2024-01-29,4.245,South
F0226,2024-01-29,4.203,Midwest
F0227,2024-01-29,4.2,Southeast
F0228,2024-01-29,4.344,West
F0229,2024-02-05,4.288,South
F0230,2024-02-05,4.327,Midwest
F0231,2024-02-05,4.112,Southeast
F0232,2024-02-05,4.381,West
F0233,2024-02-12,4.109,South
F0234,2024-02-12,4.297,Midwest
F0235,2024-02-12,4.193,Southeast
F0236,2024-02-12,4.335,West
F0237,2024-02-19,4.246,South
F0238,2024-02-19,4.274,Midwest
F0239,2024-02-19,4.119,Southeast
F0240,2024-02-19,4.341,West
F0241,2024-02-26,4.366,South
F0242,2024-02-26,4.351,Midwest
F0243,2024-02-26,4.323,Southeast
F0244,2024-02-26,4.488,West
F0245,2024-03-04,4.194,South
F0246,2024-03-04,4.276,Midwest
F0247,2024-03-04,4.303,Southeast
F0248,2024-03-04,4.494,West
F0249,2024-03-11,4.386,South
F0250,2024-03-11,4.312,Midwest
F0251,2024-03-11,4.239,Southeast
F0252,2024-03-11,4.423,West
F0253,2024-03-18,4.427,South
F0254,2024-03-18,4.391,Midwest
F0255,2024-03-18,4.35,Southeast
F0256,2024-03-18,4.476,West
F0257,2024-03-25,4.486,South
F0258,2024-03-25,4.556,Midwest
F0259,2024-03-25,4.446,Southeast
F0260,2024-03-25,4.669,West
F0261,2024-04-01,4.416,South
F0262,2024-04-01,4.393,Midwest
F0263,2024-04-01,4.421,Southeast
F0264,2024-04-01,4.607,West
F0265,2024-04-08,4.483,South
F0266,2024-04-08,4.435,Midwest
F0267,2024-04-08,4.449,Southeast
F0268,2024-04-08,4.536,West
F0269,2024-04-15,4.547,South
F0270,2024-04-15,4.482,Midwest
F0271,2024-04-15,4.509,Southeast
F0272,2024-04-15,4.655,West
F0273,2024-04-22,4.522,South
F0274,2024-04-22,4.47,Midwest
F0275,2024-04-22,4.353,Southeast
F0276,2024-04-22,4.594,West
F0277,2024-04-29,4.524,South
F0278,2024-04-29,4.592,Midwest
F0279,2024-04-29,4.388,Southeast
F0280,2024-04-29,4.663,West
F0281,2024-05-06,4.543,South
F0282,2024-05-06,4.513,Midwest
F0283,2024-05-06,4.505,Southeast
F0284,2024-05-06,4.567,West
F0285,2024-05-13,4.464,South
F0286,2024-05-13,4.655,Midwest
F0287,2024-05-13,4.45,Southeast
F0288,2024-05-13,4.632,West
F0289,2024-05-20,4.565,South
F0290,2024-05-20,4.54,Midwest
F0291,2024-05-20,4.513,Southeast
F0292,2024-05-20,4.706,West
F0293,2024-05-27,4.534,South
F0294,2024-05-27,4.526,Midwest
F0295,2024-05-27,4.528,Southeast
F0296,2024-05-27,4.61,West
F0297,2024-06-03,4.588,South
F0298,2024-06-03,4.67,Midwest
F0299,2024-06-03,4.595,Southeast
F0300,2024-06-03,4.792,West
F0301,2024-06-10,4.498,South
F0302,2024-06-10,4.655,Midwest
F0303,2024-06-10,4.514,Southeast
F0304,2024-06-10,4.722,West
F0305,2024-06-17,4.667,South
F0306,2024-06-17,4.641,Midwest
F0307,2024-06-17,4.563,Southeast
F0308,2024-06-17,4.791,West
F0309,2024-06-24,4.588,South
F0310,2024-06-24,4.608,Midwest
F0311,2024-06-24,4.581,Southeast
F0312,2024-06-24,4.884,West
F0313,2024-07-01,4.729,South
F0314,2024-07-01,4.727,Midwest
F0315,2024-07-01,4.59,Southeast
F0316,2024-07-01,4.845,West
F0317,2024-07-08,4.568,South
F0318,2024-07-08,4.643,Midwest
F0319,2024-07-08,4.59,Southeast
F0320,2024-07-08,4.814,West
F0321,2024-07-15,4.602,South
F0322,2024-07-15,4.61,Midwest
F0323,2024-07-15,4.577,Southeast
F0324,2024-07-15,4.864,West
F0325,2024-07-22,4.599,South
F0326,2024-07-22,4.633,Midwest
F0327,2024-07-22,4.631,Southeast
F0328,2024-07-22,4.862,West
F0329,2024-07-29,4.705,South
F0330,2024-07-29,4.743,Midwest
F0331,2024-07-29,4.649,Southeast
F0332,2024-07-29,4.778,West
F0333,2024-08-05,4.536,South
F0334,2024-08-05,4.626,Midwest
F0335,2024-08-05,4.588,Southeast
F0336,2024-08-05,4.865,West
F0337,2024-08-12,4.566,South
F0338,2024-08-12,4.654,Midwest
F0339,2024-08-12,4.496,Southeast
F0340,2024-08-12,4.796,West
F0341,2024-08-19,4.544,South
F0342,2024-08-19,4.668,Midwest
F0343,2024-08-19,4.471,Southeast
F0344,2024-08-19,4.815,West
F0345,2024-08-26,4.561,South
F0346,2024-08-26,4.669,Midwest
F0347,2024-08-26,4.544,Southeast
F0348,2024-08-26,4.894,West
F0349,2024-09-02,4.563,South
F0350,2024-09-02,4.649,Midwest
F0351,2024-09-02,4.677,Southeast
F0352,2024-09-02,4.816,West
F0353,2024-09-09,4.72,South
F0354,2024-09-09,4.828,Midwest
F0355,2024-09-09,4.677,Southeast
F0356,2024-09-09,4.951,West
F0357,2024-09-16,4.767,South
F0358,2024-09-16,4.836,Midwest
F0359,2024-09-16,4.718,Southeast
F0360,2024-09-16,4.987,West
F0361,2024-09-23,4.834,South
F0362,2024-09-23,4.857,Midwest
F0363,2024-09-23,4.728,Southeast
F0364,2024-09-23,4.9,West
F0365,2024-09-30,4.768,South
F0366,2024-09-30,4.841,Midwest
F0367,2024-09-30,4.717,Southeast
F0368,2024-09-30,4.946,West
F0369,2024-10-07,4.65,South
F0370,2024-10-07,4.737,Midwest
F0371,2024-10-07,4.655,Southeast
F0372,2024-10-07,4.874,West
F0373,2024-10-14,4.676,South
F0374,2024-10-14,4.743,Midwest
F0375,2024-10-14,4.746,Southeast
F0376,2024-10-14,4.958,West
F0377,2024-10-21,4.682,South
F0378,2024-10-21,4.757,Midwest
F0379,2024-10-21,4.654,Southeast
F0380,2024-10-21,4.826,West
F0381,2024-10-28,4.772,South
F0382,2024-10-28,4.764,Midwest
F0383,2024-10-28,4.704,Southeast
F0384,2024-10-28,4.943,West
F0385,2024-11-04,4.719,South
F0386,2024-11-04,4.702,Midwest
F0387,2024-11-04,4.684,Southeast
F0388,2024-11-04,4.967,West
F0389,2024-11-11,4.875,South
F0390,2024-11-11,4.828,Midwest
F0391,2024-11-11,4.808,Southeast
F0392,2024-11-11,4.981,West
F0393,2024-11-18,4.765,South
F0394,2024-11-18,4.814,Midwest
F0395,2024-11-18,4.773,Southeast
F0396,2024-11-18,4.91,West
F0397,2024-11-25,4.837,South
F0398,2024-11-25,4.838,Midwest
F0399,2024-11-25,4.715,Southeast
F0400,2024-11-25,4.979,West
F0401,2024-12-02,4.792,South
F0402,2024-12-02,4.735,Midwest
F0403,2024-12-02,4.721,Southeast
F0404,2024-12-02,4.962,West
F0405,2024-12-09,4.749,South
F0406,2024-12-09,4.707,Midwest
F0407,2024-12-09,4.686,Southeast
F0408,2024-12-09,4.822,West
F0409,2024-12-16,4.666,South
F0410,2024-12-16,4.737,Midwest
F0411,2024-12-16,4.735,Southeast
F0412,2024-12-16,4.876,West
F0413,2024-12-23,4.818,South
F0414,2024-12-23,4.763,Midwest
F0415,2024-12-23,4.653,Southeast
F0416,2024-12-23,4.851,West
F0417,2024-12-30,4.863,South
F0418,2024-12-30,4.796,Midwest
F0419,2024-12-30,4.77,Southeast
F0420,2024-12-30,5.004,West
